src_subject_id,Bartoshuk_items,angle,RT,labels,flags
sub-0004,"Brightness of the light in this room",28.211704268684,3.55685519997496,moderate,
sub-0004,"Brightness of a dimly lit restaurant",13.1781911070156,4.09027229994535,moderate,
sub-0004,"Brightest light you have ever seen",163.505108994938,3.01150409993716,strongest sensation,
sub-0004,"Loudness of a whisper",13.0552472237966,3.93262360000517,moderate,
sub-0004,"Loudness of a conversation",20.0764600515325,2.73644070001319,moderate,
sub-0004,"Loudest sound you have heard",164.840453817998,2.41979039995931,strongest sensation,
sub-0004,"Strongest smell of a flower",66.8685791853725,3.29037239996251,very strong,
sub-0004,"Sweetness of a coca-cola",18.0939065440632,2.63585209997837,moderate,
sub-0004,"Bitterness of celery",37.0342254347894,3.35966990003362,strong,
sub-0004,"Strongest saltiness experienced",172.050640830253,2.33757530001458,strongest sensation,
sub-0004,"Strongest sweetness experienced",171.469234390052,1.65981789992657,strongest sensation,
sub-0004,"Sweetness of candy",38.1117417230053,2.67285400000401,strong,
sub-0004,"Strongest sourness experienced",170.766676490723,2.37993609998375,strongest sensation,
sub-0004,"Warmth of warm bread in your mouth",21.9006228582083,4.30699440010358,moderate,
sub-0004,"Strongest coldness experienced",172.874983651098,1.88196599995717,strongest sensation,
sub-0004,"Strongest heat experienced",169.790765923939,1.99289830005728,strongest sensation,
sub-0004,"Strongest oral pain experienced (e.g., toothache)",173.510833604072,3.47205490001943,strongest sensation,
sub-0004,"Strongest stomach ache experienced",174.2894068625,2.25085469998885,strongest sensation,
sub-0004,"Strongest headache experienced",168.36636600106,1.99439560004976,strongest sensation,
sub-0004,"Strongest injury-induced pain experienced (e.g. burns, scrapes, broken limbs, etc.)",104.285625046595,4.60328799998388,strongest sensation,
,"Thermode",0,0,<undefined>,
,"Thermode",0,0,<undefined>,
,"Thermode",0,0,<undefined>,
,"Thermode",0,0,<undefined>,
